,Vmag
0,9.1
1,9.27
2,6.61
3,8.06
4,8.55
5,12.31
6,9.64
7,9.05
8,8.59
9,8.59
10,7.34
11,8.43
12,8.8
13,7.25
14,8.6
15,8.15
16,11.71
17,11.03
18,6.53
19,8.51
20,7.55
21,8.69
22,7.57
23,9.05
24,6.28
25,9.13
26,9.32
27,8.83
28,9.14
29,8.26
30,7.63
31,9.09
32,8.1
33,6.43
34,9.07
35,7.68
36,10.44
37,8.65
38,7.46
39,8.7
40,10.61
41,8.2
42,6.18
43,7.91
44,9.59
45,8.57
46,10.78
47,7.31
48,9.53
49,6.49
50,8.94
51,8.56
52,10.96
53,10.57
54,7.4
55,8.12
56,8.27
57,7.05
58,9.09
59,8.34
60,8.86
61,8.27
62,6.36
63,8.08
64,11.0
65,8.55
66,7.83
67,8.79
68,8.33
69,10.42
70,8.26
71,8.97
72,6.9
73,9.93
74,7.42
75,9.03
76,8.41
77,8.06
78,8.69
79,8.4
80,8.57
81,9.5
82,8.85
83,9.61
84,10.62
85,8.05
86,7.8
87,5.71
88,7.87
89,7.64
90,7.66
91,8.68
92,8.12
93,10.1
94,8.67
95,10.46
96,9.87
97,9.48
98,7.04
99,8.44
100,9.88
101,7.05
102,8.29
103,9.34
104,7.73
105,6.22
106,5.53
107,8.53
108,7.23
109,8.61
110,11.28
111,10.76
112,8.93
113,7.95
114,7.46
115,8.6
116,8.55
117,9.2
118,6.82
119,8.29
120,6.83
121,4.78
122,7.21
123,5.58
124,8.7
125,8.06
126,10.86
127,6.5
128,9.32
129,9.14
130,8.13
131,10.62
132,6.62
133,9.96
134,8.64
135,6.6
136,6.25
137,7.83
138,10.03
139,9.04
140,8.47
141,7.33
142,8.66
143,10.35
144,5.13
145,8.96
146,8.49
147,11.26
148,8.15
149,7.04
150,10.02
151,8.9
152,7.78
153,4.37
154,9.93
155,8.6
156,8.51
157,7.09
158,6.93
159,8.68
160,8.98
161,9.84
162,8.98
163,7.98
164,10.16
165,8.86
166,8.58
167,9.56
168,9.24
169,9.63
170,5.8
171,9.05
172,8.45
173,8.86
174,7.84
175,8.86
176,8.93
177,7.97
178,6.9
179,8.47
180,6.77
181,8.55
182,5.04
183,8.48
184,8.53
185,6.33
186,8.99
187,8.64
188,9.55
189,8.74
190,12.43
191,8.16
192,9.46
193,5.7
194,7.62
195,8.95
196,8.97
197,8.94
198,7.24
199,10.32
200,8.24
201,8.62
202,9.18
203,8.53
204,8.54
205,8.56
206,9.41
207,5.87
208,7.2
209,9.05
210,9.52
211,10.24
212,7.7
213,8.17
214,7.29
215,9.26
216,7.94
217,8.42
218,8.56
219,7.52
220,7.74
221,8.85
222,9.01
223,7.17
224,9.04
225,10.3
226,9.86
227,7.64
228,8.27
229,8.44
230,9.58
